first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Ro,Khanna,K000389,rep,Democrat,CA,2025-01-03,2027-01-03,,UCr4KOYv1o1oEQhy1jhhm3pQ,RepRoKhanna,8.16e+17,reprokhanna,,RepRoKhanna,https://www.youtube.com/channel/UCr4KOYv1o1oEQhy1jhhm3pQ
Jodey,Arrington,A000375,rep,Republican,TX,2025-01-03,2027-01-03,,UC3lif8TFPOe-tJ2-pE4Rp7Q,RepArrington,8.16e+17,repjodeyarrington,,JodeyArrington,https://www.youtube.com/channel/UC3lif8TFPOe-tJ2-pE4Rp7Q
Salud,Carbajal,C001112,rep,Democrat,CA,2025-01-03,2027-01-03,repcarbajal,UCqzGv_gXgL6xceXQnu5vs3g,RepCarbajal,8.16e+17,repcarbajal,,repsaludcarbajal,https://www.youtube.com/channel/UCqzGv_gXgL6xceXQnu5vs3g
Bradley,Schneider,S001190,rep,Democrat,IL,2025-01-03,2027-01-03,RepBradSchneider,UCcJmPR629lPofmQLMBU2xMg,RepSchneider,1071840474.0,repschneider,,CongressmanBradSchneider,https://www.youtube.com/channel/UCcJmPR629lPofmQLMBU2xMg
Pramila,Jayapal,J000298,rep,Democrat,WA,2025-01-03,2027-01-03,,UCmyD0_-2Oowkfwc_Raghclw,RepJayapal,8.16e+17,repjayapal,,RepJayapal,https://www.youtube.com/channel/UCmyD0_-2Oowkfwc_Raghclw
Brian,Fitzpatrick,F000466,rep,Republican,PA,2025-01-03,2027-01-03,,UCYMNcgHss4_Q5JY2vSvMpgw,RepBrianFitz,8.16e+17,repbrianfitz,,repbrianfitzpatrick,https://www.youtube.com/channel/UCYMNcgHss4_Q5JY2vSvMpgw
Adriano,Espaillat,E000297,rep,Democrat,NY,2025-01-03,2027-01-03,,UCi0niBYFhEY70Dz8InbX5OQ,RepEspaillat,8.17e+17,repadrianoespaillat,,RepEspaillat,https://www.youtube.com/channel/UCi0niBYFhEY70Dz8InbX5OQ
David,Kustoff,K000392,rep,Republican,TN,2025-01-03,2027-01-03,,UCK6U4plOKKMrCjv_h59spGQ,RepDavidKustoff,8.16e+17,repdavidkustoff,,RepDavidKustoff,https://www.youtube.com/channel/UCK6U4plOKKMrCjv_h59spGQ
Darren,Soto,S001200,rep,Democrat,FL,2025-01-03,2027-01-03,repdarrensoto,UCh9Og3DYZIaIWKriQ3n6cYQ,RepDarrenSoto,8.19e+17,RepDarrenSoto,,CongressmanDarrenSoto,https://www.youtube.com/channel/UCh9Og3DYZIaIWKriQ3n6cYQ
Jack,Bergman,B001301,rep,Republican,MI,2025-01-03,2027-01-03,ackbergman5150,UCKrkKLwcZs7bUehe6ub9Vsg,RepJackBergman,8.15e+17,RepJackBergman,,RepJackBergman,https://www.youtube.com/channel/UCKrkKLwcZs7bUehe6ub9Vsg
